Cruise,Station,Latitude,Longitude,Year,Month,Day,Hour,Depth,Salinity,Time
1,DJ5,32.583,18.75,2021,JAN,15,30,2.97038077,38.14427092,1
1,DJ5,32.583,18.75,2021,JAN,15,30,12.56829677,38.19270073,1
1,DJ5,32.583,18.75,2021,JAN,15,30,19.72359896,38.22313699,1
1,DJ5,32.583,18.75,2021,JAN,15,30,35.9355177,38.21442879,1
1,DJ5,32.583,18.75,2021,JAN,15,30,67.08053521,38.2460533,1
1,DJ5,32.583,18.75,2021,JAN,15,30,100.4550299,38.25011034,1
1,DJ5,32.583,18.75,2021,JAN,15,30,126.7926316,38.31127143,1
1,DJ5,32.583,18.75,2021,JAN,15,30,152.7682393,38.40195213,1
1,DJ5,32.583,18.75,2021,JAN,15,30,198.6129201,38.66577831,1
1,DJ5,32.583,18.75,2021,JAN,15,30,208.7435945,38.69122608,1
1,DJ5,32.583,18.75,2021,JAN,15,30,308.1206117,38.81134364,1
1,DJ5,32.583,18.75,2021,JAN,15,30,424.1468957,38.79742348,1
1,DJ5,32.583,18.75,2021,JAN,15,30,637.4485681,38.7423633,1
1,DJ5,32.583,18.75,2021,JAN,15,30,907.4942171,38.71143277,1
1,DJ5,32.583,18.75,2021,JAN,15,30,1128.110649,38.71243698,1
1,DJ5,32.583,18.75,2021,JAN,15,30,1304.53829,38.71033875,1
1,DJ5,32.583,18.75,2021,JAN,15,30,1404.433891,38.73209667,1
1,DJ5,32.583,18.75,2021,JAN,15,30,1516.884677,38.7055218,1
1,DJ5,32.583,18.75,2021,JAN,15,30,2986.550941,38.66679027,1
2,DJ5,32.583,18.75,2021,APR,15,30,1.160057496,38.26730233,2
2,DJ5,32.583,18.75,2021,APR,15,30,21.85845946,38.29266096,2
2,DJ5,32.583,18.75,2021,APR,15,30,27.32053775,38.26711537,2
2,DJ5,32.583,18.75,2021,APR,15,30,40.09131648,38.30324971,2
2,DJ5,32.583,18.75,2021,APR,15,30,50.63667879,38.2919811,2
2,DJ5,32.583,18.75,2021,APR,15,30,77.64944618,38.31518118,2
2,DJ5,32.583,18.75,2021,APR,15,30,101.0061723,38.34947991,2
2,DJ5,32.583,18.75,2021,APR,15,30,131.9083453,38.44365694,2
2,DJ5,32.583,18.75,2021,APR,15,30,154.7814323,38.5226392,2
2,DJ5,32.583,18.75,2021,APR,15,30,196.2932274,38.69656333,2
2,DJ5,32.583,18.75,2021,APR,15,30,255.4008378,38.80165412,2
2,DJ5,32.583,18.75,2021,APR,15,30,326.1002214,38.81238209,2
2,DJ5,32.583,18.75,2021,APR,15,30,594.3081237,38.79334412,2
2,DJ5,32.583,18.75,2021,APR,15,30,803.7461349,38.75064425,2
2,DJ5,32.583,18.75,2021,APR,15,30,1054.320327,38.72752059,2
2,DJ5,32.583,18.75,2021,APR,15,30,1411.711471,38.71528801,2
2,DJ5,32.583,18.75,2021,APR,15,30,1718.340566,38.70901269,2
2,DJ5,32.583,18.75,2021,APR,15,30,2001.522039,38.7023704,2
2,DJ5,32.583,18.75,2021,APR,15,30,2472.503891,38.71320032,2
2,DJ5,32.583,18.75,2021,APR,15,30,3481.437298,38.71141844,2
3,DJ5,32.583,18.75,2021,JUL,15,30,2.205921317,38.54785223,3
3,DJ5,32.583,18.75,2021,JUL,15,30,9.370245043,38.59850586,3
3,DJ5,32.583,18.75,2021,JUL,15,30,20.11067457,38.57713636,3
3,DJ5,32.583,18.75,2021,JUL,15,30,39.57940635,38.09961019,3
3,DJ5,32.583,18.75,2021,JUL,15,30,27.99264188,38.33453772,3
3,DJ5,32.583,18.75,2021,JUL,15,30,50.46972346,38.06914647,3
3,DJ5,32.583,18.75,2021,JUL,15,30,77.26780672,38.23716494,3
3,DJ5,32.583,18.75,2021,JUL,15,30,99.91597211,38.43817372,3
3,DJ5,32.583,18.75,2021,JUL,15,30,123.6723972,38.55747155,3
3,DJ5,32.583,18.75,2021,JUL,15,30,151.1654138,38.77287886,3
3,DJ5,32.583,18.75,2021,JUL,15,30,199.5791036,38.87804451,3
3,DJ5,32.583,18.75,2021,JUL,15,30,202.6553186,38.88316877,3
3,DJ5,32.583,18.75,2021,JUL,15,30,295.1938334,38.87616081,3
3,DJ5,32.583,18.75,2021,JUL,15,30,398.9752087,38.81445205,3
3,DJ5,32.583,18.75,2021,JUL,15,30,543.4640887,38.79286433,3
3,DJ5,32.583,18.75,2021,JUL,15,30,893.6337673,38.72574622,3
3,DJ5,32.583,18.75,2021,JUL,15,30,1235.585745,38.70275975,3
3,DJ5,32.583,18.75,2021,JUL,15,30,1300.350962,38.68659571,3
3,DJ5,32.583,18.75,2021,JUL,15,30,1427.475304,38.68815858,3
3,DJ5,32.583,18.75,2021,JUL,15,30,3484.427925,38.65964854,3
4,DJ5,32.583,18.75,2021,OCT,15,30,4.11240807,38.53775106,4
4,DJ5,32.583,18.75,2021,OCT,15,30,8.764590783,38.50890677,4
4,DJ5,32.583,18.75,2021,OCT,15,30,19.78948789,38.60622433,4
4,DJ5,32.583,18.75,2021,OCT,15,30,29.89339451,38.61332892,4
4,DJ5,32.583,18.75,2021,OCT,15,30,40.77322718,38.43665121,4
4,DJ5,32.583,18.75,2021,OCT,15,30,49.81445247,38.35192428,4
4,DJ5,32.583,18.75,2021,OCT,15,30,75.43013292,38.33214387,4
4,DJ5,32.583,18.75,2021,OCT,15,30,100.6477296,38.50694747,4
4,DJ5,32.583,18.75,2021,OCT,15,30,123.8749072,38.56862281,4
4,DJ5,32.583,18.75,2021,OCT,15,30,149.4163687,38.70582489,4
4,DJ5,32.583,18.75,2021,OCT,15,30,197.8476486,38.84217511,4
4,DJ5,32.583,18.75,2021,OCT,15,30,195.5275504,38.83340857,4
4,DJ5,32.583,18.75,2021,OCT,15,30,214.8967501,38.86271468,4
4,DJ5,32.583,18.75,2021,OCT,15,30,264.5114893,38.885041,4
4,DJ5,32.583,18.75,2021,OCT,15,30,397.4384439,38.86244952,4
4,DJ5,32.583,18.75,2021,OCT,15,30,482.6684018,38.82984322,4
4,DJ5,32.583,18.75,2021,OCT,15,30,592.8838053,38.79336561,4
4,DJ5,32.583,18.75,2021,OCT,15,30,987.2264648,38.74358521,4
4,DJ5,32.583,18.75,2021,OCT,15,30,1187.794939,38.72457541,4
4,DJ5,32.583,18.75,2021,OCT,15,30,1443.621794,38.71250867,4
4,DJ5,32.583,18.75,2021,OCT,15,30,1763.19989,38.70304864,4
4,DJ5,32.583,18.75,2021,OCT,15,30,2029.245574,38.68917067,4
4,DJ5,32.583,18.75,2021,OCT,15,30,2547.145646,38.6925239,4
4,DJ5,32.583,18.75,2021,OCT,15,30,2949.378446,38.69005997,4
4,DJ5,32.583,18.75,2021,OCT,15,30,3492.51053,38.68778776,4